,Gamma,n,tobs,epsB,epse,epsp,p,Emin,eta,Ntdyn,fdt,runstatus,Gammas,keV_flatness_0.0,TeV_flatness_0.0,height_ratio_0.0,keV_flatness_0.1,TeV_flatness_0.1,height_ratio_0.1,keV_flatness_0.2,TeV_flatness_0.2,height_ratio_0.2,comp1,comp2
42367815,50.11872336272722,100.0,1000.0,0.1,3.1622776601683795e-05,0.001,2.0,1000000000.0,1.0,3.0,0.05,b'fine',50.11872336272722,0.006643642667823066,0.21265628835377112,0.06314025083922942,0.19313181900767287,0.3203626182068717,1.6648195984395167,0.3929072806831689,0.44164886011640714,3.2800788580962386,0,10
52217870,50.11872336272722,10.0,1000.0,0.1,0.0031622776601683794,1.0,2.1,1000000000.0,1.0,3.0,0.05,b'fine',50.11872336272722,0.09862217171241174,0.40964923123914876,1.6699020254576742,0.1011532899630843,0.2811441880967746,0.0004279135205855359,0.3009287516385801,0.18072611563066757,1.6971331690927705,0,10
12994481,50.11872336272722,100.0,1000.0,0.1,0.0001,0.31622776601683794,2.4,1000000000.0,10.0,3.0,0.05,b'fine',50.11872336272722,0.40989421901276524,0.31745043335858925,3.393549630119637,0.21011875733726926,0.16544736469245103,1.7475735437063122,0.010343295661773343,0.11176391386262899,0.0032778394566715294,0,10
