# E[eV], EF_E [erg/cm^3s]
3.216764485634360932e-02,1.093993673105631980e-10
3.555074559821670005e-02,1.160243594180954094e-10
3.928965015105485153e-02,1.230062528202687737e-10
4.342177872831235602e-02,1.303632416548076819e-10
4.798848706164666328e-02,1.381145637306106680e-10
5.303548030298126797e-02,1.462803886792621613e-10
5.861327045702881267e-02,1.548819989528077527e-10
6.477768192241063760e-02,1.639413018744054390e-10
7.159041020100294361e-02,1.734819899853999035e-10
7.911963936725474600e-02,1.835281010084124988e-10
8.744072447732290088e-02,1.941059806107782946e-10
9.663694574780284929e-02,2.052419261042389685e-10
1.068003420521255881e-01,2.169649523604357660e-10
1.180326320765410081e-01,2.293042231591863471e-10
1.304462323549161196e-01,2.422915393677363641e-10
1.441653823711916138e-01,2.559589049120108291e-10
1.593273879898968182e-01,2.703407278921485476e-10
1.760839956593894529e-01,2.854725412302627686e-10
1.946029111413153656e-01,3.013919631114792941e-10
2.150694779662414846e-01,3.181378353776871232e-10
2.376885324140008415e-01,3.357511575547210897e-10
2.626864535840350845e-01,3.542744789593558754e-10
2.903134290735043810e-01,3.737527913671182047e-10
3.208459589388535926e-01,3.942324796085711827e-10
3.545896230013149131e-01,4.157632903011106937e-10
3.918821391924601216e-01,4.383967916093375013e-10
4.330967435487804718e-01,4.621871257663911063e-10
4.786459256833797693e-01,4.871912649096274160e-10
5.289855571206678597e-01,5.134691416056430591e-10
5.846194538118072437e-01,5.410836018381413875e-10
6.461044184940772928e-01,5.701013299985272629e-10
7.140558133598328139e-01,6.005911105986070071e-10
7.891537188081408916e-01,6.326262705944271320e-10
8.721497399180027088e-01,6.662829669015564717e-10
9.638745287646177662e-01,7.016419797888641123e-10
1.065246097864522845e+00,7.387868855157987789e-10
1.177279007953437207e+00,7.778048589995653542e-10
1.301094522051089664e+00,8.187890248277594090e-10
1.437931827438395649e+00,8.618353560448693018e-10
1.589160437860287933e+00,9.070430687344264109e-10
1.756293900079548775e+00,9.545167637439395686e-10
1.941004941961577135e+00,1.004365542842895380e-09
2.145142213697048383e+00,1.056702656615983994e-09
2.370748789714389293e+00,1.111645021658742105e-09
2.620082616455385871e+00,1.169314677943655395e-09
2.895639110662042270e+00,1.229837274630511370e-09
3.200176134346119916e+00,1.293344925184167546e-09
3.536741596399077814e+00,1.359969738740904021e-09
3.908703957088699443e+00,1.429850166291101954e-09
4.319785940741640573e+00,1.503126963066847045e-09
4.774101794019711242e+00,1.579947043041187793e-09
5.276198462683359125e+00,1.660454691396224621e-09
5.831101098953086925e+00,1.744797333361822182e-09
6.444363354921899045e+00,1.833124647166416719e-09
7.122122965372104986e+00,1.925585163151393229e-09
7.871163176287940821e+00,2.022324619864846966e-09
8.698980633861369327e+00,2.123485004301042779e-09
9.613860413446847275e+00,2.229203682311487948e-09
1.062495893938017311e+01,2.339608439809375430e-09
1.174239562555086103e+01,2.454817774264978600e-09
1.297735415389750990e+01,2.574932299226493719e-09
1.434219440445572502e+01,2.700037912117747505e-09
1.585057615719174606e+01,2.830193076814868047e-09
1.751759580367156488e+01,2.965431492931762167e-09
1.935993743682184487e+01,3.105753136462047481e-09
2.139603983093948969e+01,3.251107932169875524e-09
2.364628098314251403e+01,3.401407771023047816e-09
2.613318206321432768e+01,3.556498553661710429e-09
2.888163281304061769e+01,3.716165828445642672e-09
3.191914065151189206e+01,3.880116261587171334e-09
3.527610597801711378e+01,4.047976107960195518e-09
3.898612642985899868e+01,4.219266771642912150e-09
4.308633313870052461e+01,4.393419221091929851e-09
4.761776235141083902e+01,4.569751272981173336e-09
5.262576613461679642e+01,4.747466896475183428e-09
5.816046627342875297e+01,4.925659103549380155e-09
6.427725590711297343e+01,5.103310150604355397e-09
7.103735392224736245e+01,5.279294118360029676e-09
7.850841765191479737e+01,5.452413382565448098e-09
8.676522001303318632e+01,5.621396295020166853e-09
9.589039785883940681e+01,5.784957201466418950e-09
1.059752790362926191e+02,5.941799649491671238e-09
1.171207964258624088e+02,6.090681824337270819e-09
1.294384981117213442e+02,6.230473200352349658e-09
1.430516637924642964e+02,6.360190502748734296e-09
1.580965386057665398e+02,6.479029989983611347e-09
1.747236967155170362e+02,6.586447087145571554e-09
1.930995483086589388e+02,6.682155341922118694e-09
2.134080050842733556e+02,6.766164019094705258e-09
2.358523209036791854e+02,6.838742426139454787e-09
2.606571260233912994e+02,6.900443582424996629e-09
2.880706752702310496e+02,6.952009288975404262e-09
3.183673326590728720e+02,6.994401221339335916e-09
3.518503173201225422e+02,7.028655006536006139e-09
3.888547382178883822e+02,7.055877630989464172e-09
4.297509480343291557e+02,7.077127582519266978e-09
4.749482497829793601e+02,7.093464218990464742e-09
5.248989932510769449e+02,7.105812969314914631e-09
5.801031022682757339e+02,7.115006744270623669e-09
6.411130781123625866e+02,7.121727311022696936e-09
7.085395291277437764e+02,7.126548481181126456e-09
7.830572818989954840e+02,7.129936861208079461e-09
8.654121351421338204e+02,7.132269924163821521e-09
9.564283239088380242e+02,7.133795747928314373e-09
1.057016768807884773e+03,7.134723361490857421e-09
1.168184192804764280e+03,7.135218083719883559e-09
1.291043196843500255e+03,7.135405523579389772e-09
1.426823395130849576e+03,7.135336079638417644e-09
1.576883721528573233e+03,7.135078954656453830e-09
1.742726030220279881e+03,7.134682009616944317e-09
1.926010126772874628e+03,7.134179695719525386e-09
2.128570380028571435e+03,7.133558334594011122e-09
2.352434081084805712e+03,7.132868729257324084e-09
2.599841733104940886e+03,7.132111340385208774e-09
2.873269475026969758e+03,7.131283585010534923e-09
3.175453863594288578e+03,7.130371239942680726e-09
3.509419261735361488e+03,7.129407731958961503e-09
3.878508107404430120e+03,7.128375460409140682e-09
4.286414365824001834e+03,7.127277448070663916e-09
4.737220499930354890e+03,7.126093646515335895e-09
5.235438329034806884e+03,7.124856199078815864e-09
5.786054184627830182e+03,7.123532742754776047e-09
6.394578815260580086e+03,7.122138882466300156e-09
7.067102539968631390e+03,7.120648343197663798e-09
7.810356202231871976e+03,7.119087926266014229e-09
8.631778534518420201e+03,7.117428269976802387e-09
9.539590607619391449e+03,7.115687204003932392e-09
1.054287810988855199e+04,7.113836742136511847e-09
1.165168227986517559e+04,7.111896690618232885e-09
1.287710040236435634e+04,7.109843498372696893e-09
1.423139687383330238e+04,7.107688338771638380e-09
1.572812594855324824e+04,7.105406904148827364e-09
1.738226739417201679e+04,7.103021348088969759e-09
1.921037641425347829e+04,7.100498763008358998e-09
2.123074933831929593e+04,7.097849709891479694e-09
2.346360673766427863e+04,7.095062651218956635e-09
2.593129579963037031e+04,7.092142054561608781e-09
2.865851398576869542e+04,7.089064230696239520e-09
3.167255621233576312e+04,7.085847112053173576e-09
3.500358802698969521e+04,7.082444674760393114e-09
3.868494751572993846e+04,7.078897768038752514e-09
4.275347896166748251e+04,7.075160911462991666e-09
4.724990159499394940e+04,7.071248737724918442e-09
5.221921712472346553e+04,7.067143625985440506e-09
5.771116013092223875e+04,7.062837205432346050e-09
6.378069582510201872e+04,7.058326412469932253e-09
7.048857016053159896e+04,7.053599384922935484e-09
7.790191779815444897e+04,7.048650120881669244e-09
8.609493401283996354e+04,7.043458093636199497e-09
9.514961726463267405e+04,7.038035528365979114e-09
1.051565898669005692e+05,7.032351180128962733e-09
1.162160049649067951e+05,7.026411458954092802e-09
1.284385489021501417e+05,7.020189285610609374e-09
1.419465490064931801e+05,7.013686314753964047e-09
1.568751978831760644e+05,7.006890984693888300e-09
1.733739064678485156e+05,6.999775399782947992e-09
1.916077993814335496e+05,6.992343928743458677e-09
2.117593675528335443e+05,6.984595925747767962e-09
2.340302946494834032e+05,6.976485797104254990e-09
2.586434755952840787e+05,6.968017987988219031e-09
2.858452473779162974e+05,6.959195686905000495e-09
3.159078544722126098e+05,6.949984786324100823e-09
3.491321735543631366e+05,6.940365754423202309e-09
3.858507247768216766e+05,6.930333071788121934e-09
4.264309997417543782e+05,6.919890081669923926e-09
4.712791394805107266e+05,6.908982725203992562e-09
5.208439992495772894e+05,6.897640688913535228e-09
5.756216408248472726e+05,6.885817449214663273e-09
6.361602972546073142e+05,6.873498552327720827e-09
7.030658597601512447e+05,6.860692239501167764e-09
7.770079416987706209e+05,6.847344374734117891e-09
8.587265802792995237e+05,6.833467055940543845e-09
9.490396431032351684e+05,6.819041065960326237e-09
1.048851013658587122e+06,6.804038419044794577e-09
1.159159637689634925e+06,6.788444111548779155e-09
1.281069520981688285e+06,6.772251740355726907e-09
1.415800778622062644e+06,6.755419705965407098e-09
1.564701846321961842e+06,6.737949575441648015e-09
1.729262976014303509e+06,6.719825094301728573e-09
1.911131150795954745e+06,6.701011871248195754e-09
2.112126568488133606e+06,6.681499661649004270e-09
2.334260858787997626e+06,6.661271207142216205e-09
2.579757216334781609e+06,6.640308027262353438e-09
2.851072651188988239e+06,6.618576111786027648e-09
3.150922579414904583e+06,6.596074576233548145e-09
3.482307999877257273e+06,6.572776652604590216e-09
3.848545529246521182e+06,6.548674132942785485e-09
4.253300595813306049e+06,6.523719058692743445e-09
4.700624124326691031e+06,6.497925189868402176e-09
5.194993079010667279e+06,6.471260548260362260e-09
5.741355270526853390e+06,6.443695974997822808e-09
6.345178875326621346e+06,6.415214600489703781e-09
7.012507162998925894e+06,6.385821213089316920e-09
7.750018979343580082e+06,6.355477499063177928e-09
8.565095590504838154e+06,6.324159269662595574e-09
9.465894557163912803e+06,6.291846991417534839e-09
1.046143137814811617e+07,6.258563860017554195e-09
1.156166972057334147e+07,6.224253464028042427e-09
1.277762113957345672e+07,6.188896626240539060e-09
1.412145528564520180e+07,6.152492758152390369e-09
1.560662170260071382e+07,6.115048627506065952e-09
1.724798443512255698e+07,6.076501585858075586e-09
1.906197079311887547e+07,6.036876047129568218e-09
2.106673576176236942e+07,5.996139814782458984e-09
2.328234370268399641e+07,5.954298046335039607e-09
2.573096916484804451e+07,5.911330080095781354e-09
2.843711881489129364e+07,5.867222669485309233e-09
3.142787670807968825e+07,5.821983897397946004e-09
3.473317535463669151e+07,5.775600482163827822e-09
3.838609529436628520e+07,5.728062596320172242e-09
4.242319617781408876e+07,5.679374484918162499e-09
4.688488266753809899e+07,5.629532162502908123e-09
5.181580882155210525e+07,5.578540290609636972e-09
5.726532500614698231e+07,5.526404510601927641e-09
6.328797181094378978e+07,5.473118897454863977e-09
6.994402590944646299e+07,5.418697328445098361e-09
7.730010332824984193e+07,5.363172729294896937e-09
8.542982616262428463e+07,5.306525493373128641e-09
9.441455941119047999e+07,5.248787987018271939e-09
1.043442253041731417e+08,5.189974161020637003e-09
1.153182032753052562e+08,5.130114434350149320e-09
1.274463245846032649e+08,5.069236584610819948e-09
1.408499715465329885e+08,5.007368492981068705e-09
1.556632923650106788e+08,4.944527539800182826e-09
1.720345437337168157e+08,4.880770977698979694e-09
1.901275746389169991e+08,4.816140482619766556e-09
2.101234662151880860e+08,4.750678106903921320e-09
2.322223440662767887e+08,4.684417879809213591e-09
2.566453811894060075e+08,4.617439611925158910e-09
2.836370115489703417e+08,4.549786644412366868e-09
3.134673764538086057e+08,4.481545094136337275e-09
3.464350282222204208e+08,4.412753082773681926e-09
3.828699181939142346e+08,4.343513213254026018e-09
4.231366989939163327e+08,4.273880774163057384e-09
4.676383740986053348e+08,4.203967604172717947e-09
