# E[eV], EF_E [erg/cm^3s]
2.713771410385658056e-01,4.245624522947473741e-14
2.999181241063357262e-01,4.650496051314614350e-14
3.314607885661254860e-01,5.085721204961469425e-14
3.663208240057035936e-01,5.552324859548140016e-14
4.048471213766102750e-01,6.051342130290524067e-14
4.474252648120722320e-01,6.583496629462650753e-14
4.944813906825966110e-01,7.149500895802200456e-14
5.464864525120088912e-01,7.749669687237002314e-14
6.039609344386016598e-01,8.384297502095008829e-14
6.674800603953339184e-01,9.053193886660269145e-14
7.376795511443010600e-01,9.756162661779119289e-14
8.152619867837771483e-01,1.049244265867728481e-13
9.010038384060046202e-01,1.126131924654616268e-13
9.957632392808479782e-01,1.206144817096621206e-13
1.100488573341993348e+00,1.289163604726428877e-13
1.216227966932132087e+00,1.375001596535379109e-13
1.344139778803662200e+00,1.463503940295274748e-13
1.485504193362440883e+00,1.554447787457875878e-13
1.641736033183592847e+00,1.647657205944417572e-13
1.814398919031382507e+00,1.742903497199871777e-13
2.005220919101378563e+00,1.840029119090405050e-13
2.216111844107762963e+00,1.938835893313773247e-13
2.449182361310892286e+00,2.039218105652392286e-13
2.706765118784640212e+00,2.141037901300552724e-13
2.991438091342359495e+00,2.244266766835148817e-13
3.306050381775302860e+00,2.348846206400710918e-13
3.653750735630956203e+00,2.454836393697037022e-13
4.038019054916834882e+00,2.562259948287367880e-13
4.462701226129396126e+00,2.671257286456868216e-13
4.932047611178741242e+00,2.781912590479631781e-13
5.450755586439221645e+00,2.894417559036926684e-13
6.024016555670996809e+00,3.008881087413342754e-13
6.657567907333814539e+00,3.125505622143231362e-13
7.357750436299077990e+00,3.244383833912980800e-13
8.131571804656145375e+00,3.365692499154106546e-13
8.986776676749895998e+00,3.489478582702687564e-13
9.931924230384495900e+00,3.615873528349323503e-13
1.097647381995180105e+01,3.744868088958436936e-13
1.213087964882943837e+01,3.876546731050409868e-13
1.340669539856201453e+01,4.010848143121663689e-13
1.481668986198936366e+01,4.147818197085205415e-13
1.637497473761691680e+01,4.287352889864895087e-13
1.809714586423762483e+01,4.429469082331132413e-13
2.000043930932839586e+01,4.574028133567294566e-13
2.210390387340672547e+01,4.721024932581443960e-13
2.442859173682880680e+01,4.870291363779630252e-13
2.699776915708626035e+01,5.021804744491281642e-13
2.983714932533142061e+01,5.175370547802983154e-13
3.297514971263670702e+01,5.330951358564845551e-13
3.644317648159662326e+01,5.488328261696554086e-13
4.027593880975904739e+01,5.647451273697496752e-13
4.451179627073999256e+01,5.808078767872425713e-13
4.919314274972988699e+01,5.970150192434986261e-13
5.436683073574535285e+01,6.133402916088753544e-13
6.008464023708700807e+01,6.297767918519650539e-13
6.640379701306655136e+01,6.462963494277794299e-13
7.338754530863965897e+01,6.628914484310051314e-13
8.110578082406746603e+01,6.795322354770922623e-13
8.963575025457686252e+01,6.962108417444445656e-13
9.906282440125013977e+01,7.128959891803720040e-13
1.094813525906964315e+02,7.295797435671420530e-13
1.209956069548236286e+02,7.462296899100327839e-13
1.337208260213825781e+02,7.628381358736986397e-13
