# E[eV], EF_E [erg/cm^3s]
3.873730358839052916e+08,5.147001418700060527e-16
4.281134137055662274e+08,6.288263981497763086e-16
4.731384944654803276e+08,7.682757561150329073e-16
5.228989043053445816e+08,9.386720356560890620e-16
5.778926621318879128e+08,1.146889182435440940e-15
6.386701639574786425e+08,1.401329299401548978e-15
7.058396914484107494e+08,1.712262432291469842e-15
7.800734998122720718e+08,2.092241735273754788e-15
8.621145459540125132e+08,2.556610588727571143e-15
9.527839242383661270e+08,3.124121788643679145e-15
1.052989084278233409e+09,3.817693179925818022e-15
1.163732912995410204e+09,4.665329174925780585e-15
1.286123771849985600e+09,5.701243595984425508e-15
1.421386589694363594e+09,6.967226308751841485e-15
1.570875122272933722e+09,8.514304245106756892e-15
1.736085501064573526e+09,1.040475666512348009e-14
1.918671207069354534e+09,1.271455478506986607e-14
2.120459619402150154e+09,1.553630693300883537e-14
2.343470304317012310e+09,1.898280162998136754e-14
2.589935227705049992e+09,2.319125143593331046e-14
2.862321093359252453e+09,2.832834838317093527e-14
3.163354030575135708e+09,3.459624470657130898e-14
3.496046878169023037e+09,4.223956632853752687e-14
3.863729337981560707e+09,5.155354517181599823e-14
4.270081299652895927e+09,6.289331121400854875e-14
4.719169670195046425e+09,7.668430419097785080e-14
5.215489076964209557e+09,9.343363173736156173e-14
5.764006851402049065e+09,1.137419946360789295e-13
6.370212743758322716e+09,1.383154957837330517e-13
7.040173866356577873e+09,1.679762212754731561e-13
7.780595415293481827e+09,2.036699098098120053e-13
8.598887778295070648e+09,2.464683137474838290e-13
9.503240700367830276e+09,2.975630626103298561e-13
1.050270524951937485e+10,3.582471529989871678e-13
1.160728440288925171e+10,3.879981487266040711e-13
1.282803315990625763e+10,4.205311620079960524e-13
1.417716918443845177e+10,4.551028617886102198e-13
1.566819508327962494e+10,4.903750011452791353e-13
1.731603354477648926e+10,5.242705804327442208e-13
1.913717669010934448e+10,5.539267740261253881e-13
2.114985113198402786e+10,5.759192659142173740e-13
2.337420039269806671e+10,5.871059249993791902e-13
2.583248650728228378e+10,5.867543631395475274e-13
2.854931282942993927e+10,5.863031004759962045e-13
3.155187027012995529e+10,5.858140538849455529e-13
3.487020943344324493e+10,5.853519739766063845e-13
3.853754137304859161e+10,5.849854743094601204e-13
4.259056997963035583e+10,5.847880413134005217e-13
4.706985932575320435e+10,5.848389444784735460e-13
5.202023964473426056e+10,5.852239235162779446e-13
5.749125600668614960e+10,5.860354708388087658e-13
6.353766418223143768e+10,5.873724520848514321e-13
7.021997865665890503e+10,5.893387160889880994e-13
7.760507827923210144e+10,5.920402478096107055e-13
8.576687560919145203e+10,5.955803384584859076e-13
9.478705665748994446e+10,6.000522430000333812e-13
1.047558984278466187e+11,6.026518149976831668e-13
1.157731724393425598e+11,6.049775133520153079e-13
1.279491432733184662e+11,6.068806539506610604e-13
1.414056721383659363e+11,6.081279523860647606e-13
1.562774364982619019e+11,6.086388556982601974e-13
1.727132779692928772e+11,6.084283479459340565e-13
1.908776919771779175e+11,6.076016427478965329e-13
2.109524740825783997e+11,6.063830636206269112e-13
2.331385394521724854e+11,6.050035337687305994e-13
2.576579336851729736e+11,6.035519864839534390e-13
2.847560551203169556e+11,6.020897013091854205e-13
3.147041108649204712e+11,6.006505699308193030e-13
3.478018311267645264e+11,5.992471245616691503e-13
3.843804690147576904e+11,5.978806372579673137e-13
4.248061158313876953e+11,5.965495999760141744e-13
4.694833650375247192e+11,5.952524092684798878e-13
5.188593615597655640e+11,5.939873826562857803e-13
5.734282769671506348e+11,5.927527775374296011e-13
6.337362553063226318e+11,5.915468046903155261e-13
7.003868790947113037e+11,5.903676412913770739e-13
7.740472101772397461e+11,5.892134438229686385e-13
8.554544659054739990e+11,5.880823574629188039e-13
9.454233974566655273e+11,5.869725250479268119e-13
1.044854444137380981e+12,5.858820954013764487e-13
1.154742745282729492e+12,5.848092294421137398e-13
1.276188099945308594e+12,5.837521041387771036e-13
1.410405974053772461e+12,5.827089184968722614e-13
1.558739665204385498e+12,5.816778971418750006e-13
1.722673746834858887e+12,5.806572947467013680e-13
1.903848926334296143e+12,5.796453924229795742e-13
2.104078465794211426e+12,5.786405053020123809e-13
2.325366329744987793e+12,5.776409775899473383e-13
2.569927241506468750e+12,5.766451880204265796e-13
2.840208848883319824e+12,5.756515503592765508e-13
3.138916221046955566e+12,5.746585088805623257e-13
3.469038921777008789e+12,5.736645383157132713e-13
3.833880930020449219e+12,5.726681362963074699e-13
4.237093707223420410e+12,5.716678347591226922e-13
4.682712742384655273e+12,5.706621866889028244e-13
5.175197940585781250e+12,5.696497669851732762e-13
5.719478259220390625e+12,5.686291648635293495e-13
6.321001038656304688e+12,5.675989926263868653e-13
6.985786521048915039e+12,5.665578756484068553e-13
7.720488102948110352e+12,5.655044483310503338e-13
8.532458924727273438e+12,5.644373573730179970e-13
9.429825463283599609e+12,5.633552392557456912e-13
1.042156886455025391e+13,5.622567401116355822e-13
1.151761482982359375e+13,5.611404974682716200e-13
1.272893295551783008e+13,5.600051362756253457e-13
1.406764652057300195e+13,5.588492741962384056e-13
1.554715382030536328e+13,5.576714922923239267e-13
1.718226226105018750e+13,5.564703564034849726e-13
1.898933655766139453e+13,5.552444074786777281e-13
2.098646251707809375e+13,5.539921458397459743e-13
2.319362804715935156e+13,5.527120381660666293e-13
2.563292320238421094e+13,5.514024931817505257e-13
2.832876126854151562e+13,5.500618804389458312e-13
3.130812309909989453e+13,5.486885428999819779e-13
3.460082714865760547e+13,5.472806527526968710e-13
3.823982790605870312e+13,5.458364604018789967e-13
4.226154571399368750e+13,5.443540925285625481e-13
4.670623127603034375e+13,5.428315247156989647e-13
5.161836849918400000e+13,5.412667214366048784e-13
5.704711970381025781e+13,5.396575058110164192e-13
6.304681765663132812e+13,5.380016783788339712e-13
6.967750935132716406e+13,5.362969735006397368e-13
7.700555697903087500e+13,5.345408840580198534e-13
8.510430210344212500e+13,5.327308991544144244e-13
9.405479968784835938e+13,5.308643948690925030e-13
1.039466293204404844e+14,5.289385974657708019e-13
1.148787917569402031e+14,5.269506340049556780e-13
1.269606997534389062e+14,5.248975258630566434e-13
1.403132731060346719e+14,5.227761497521165471e-13
1.550701488567953438e+14,5.205831346432201608e-13
1.713790187781918438e+14,5.183152057602140770e-13
1.894031075219978125e+14,5.159687626432784098e-13
2.093228062264672812e+14,5.135401827621819383e-13
2.313374779314756250e+14,5.110255701388956831e-13
2.556674528708336875e+14,5.084212505882044613e-13
2.825562336113215625e+14,5.057230727294750949e-13
3.122729321082218750e+14,5.029267703611283268e-13
3.451149630682177500e+14,5.000281261935996812e-13
3.814110205757453125e+14,4.970227716526315172e-13
