# E[eV], EF_E [erg/cm^3s]
3.216764485634360932e-02,4.009070056126465496e-11
3.555074559821670005e-02,4.543351764593881937e-11
3.928965015105485153e-02,5.146552716012642492e-11
4.342177872831235602e-02,5.827030794525464694e-11
4.798848706164666328e-02,6.594143056026017462e-11
5.303548030298126797e-02,7.458192315504274781e-11
5.861327045702881267e-02,8.430673300551720289e-11
6.477768192241063760e-02,9.524201203562183226e-11
7.159041020100294361e-02,1.075278772947352168e-10
7.911963936725474600e-02,1.213177038301129416e-10
8.744072447732290088e-02,1.367810535359190473e-10
9.663694574780284929e-02,1.541029665393364509e-10
1.068003420521255881e-01,1.734870800534637667e-10
1.180326320765410081e-01,1.951548928056622063e-10
1.304462323549161196e-01,2.193490393734867468e-10
1.441653823711916138e-01,2.463326171713475389e-10
1.593273879898968182e-01,2.763924720321382354e-10
1.760839956593894529e-01,3.098385620818407554e-10
1.946029111413153656e-01,3.470074151293542841e-10
2.150694779662414846e-01,3.882615352793366952e-10
2.376885324140008415e-01,4.339927938779574260e-10
2.626864535840350845e-01,4.846218812974238232e-10
2.903134290735043810e-01,5.406020162875207431e-10
3.208459589388535926e-01,6.024181293931993459e-10
3.545896230013149131e-01,6.705910676069425692e-10
3.918821391924601216e-01,7.456761891585322608e-10
4.330967435487804718e-01,8.282683538207349100e-10
4.786459256833797693e-01,9.190002142917638826e-10
5.289855571206678597e-01,1.018546793579612865e-09
5.846194538118072437e-01,1.127625013640815887e-09
6.461044184940772928e-01,1.246997080146444836e-09
7.140558133598328139e-01,1.377470056627903582e-09
7.891537188081408916e-01,1.519899686550691337e-09
8.721497399180027088e-01,1.675189690857301719e-09
9.638745287646177662e-01,1.844294130589555860e-09
1.065246097864522845e+00,2.028216312234199278e-09
1.177279007953437207e+00,2.228012424010524886e-09
1.301094522051089664e+00,2.444788131177082494e-09
1.437931827438395649e+00,2.679699505135825877e-09
1.589160437860287933e+00,2.933949995043467788e-09
1.756293900079548775e+00,3.208790620485332830e-09
1.941004941961577135e+00,3.505513509698805700e-09
2.145142213697048383e+00,3.825450403145441942e-09
2.370748789714389293e+00,4.169962328240325634e-09
2.620082616455385871e+00,4.540437352862043338e-09
2.895639110662042270e+00,4.938276349438357295e-09
3.200176134346119916e+00,5.364888330457893143e-09
3.536741596399077814e+00,5.821667610804785236e-09
3.908703957088699443e+00,6.309990158219613603e-09
4.319785940741640573e+00,6.831190101018517718e-09
4.774101794019711242e+00,7.386541669888555825e-09
5.276198462683359125e+00,7.977233263874988596e-09
5.831101098953086925e+00,8.604349594844129729e-09
6.444363354921899045e+00,9.268846078429808756e-09
7.122122965372104986e+00,9.971507038129279013e-09
7.871163176287940821e+00,1.071293001937689335e-08
8.698980633861369327e+00,1.149348567558509922e-08
9.613860413446847275e+00,1.231328213838304959e-08
1.062495893938017311e+01,1.317213863270676602e-08
1.174239562555086103e+01,1.406952859435828730e-08
1.297735415389750990e+01,1.500458381984875536e-08
1.434219440445572502e+01,1.597602836446701687e-08
1.585057615719174606e+01,1.698216503043613292e-08
1.751759580367156488e+01,1.802085096876574463e-08
1.935993743682184487e+01,1.908948701407983772e-08
2.139603983093948969e+01,2.018501313195385236e-08
2.364628098314251403e+01,2.130390952338352836e-08
2.613318206321432768e+01,2.244222157287842644e-08
2.888163281304061769e+01,2.359559251903596944e-08
