# E[eV], EF_E [erg/cm^3s]
5.579418046908048630e+09,3.136606950980028723e-11
6.166210565229206085e+09,3.831224599796569687e-11
6.814716591422118187e+09,4.678707640051245105e-11
7.531426591767330170e+09,5.712123174443641626e-11
8.323513640842845917e+09,6.971382810437964401e-11
9.198905212065464020e+09,8.504502891074166660e-11
1.016636251850925064e+10,1.036901890919640069e-10
1.123556819807071877e+10,1.263353220971455913e-10
1.241722322056337166e+10,1.537933988657716931e-10
1.372315398662026596e+10,1.870205855175138526e-10
1.516643069028660583e+10,2.271309585497002320e-10
1.676149812991472626e+10,2.754074751060699952e-10
1.852432027656110764e+10,3.333060236389441826e-10
2.047254004677437210e+10,4.024483139500748804e-10
2.262565587883409882e+10,4.845984240769686718e-10
2.500521687967475510e+10,5.281492572495271589e-10
2.763503849559082794e+10,5.757795911640714078e-10
3.054144086522798157e+10,6.265597977322011092e-10
3.375351224037710953e+10,6.787773088178039300e-10
3.730340011097518158e+10,7.297410717226351771e-10
4.122663294798965454e+10,7.757090601655158963e-10
4.556247578429747772e+10,8.121662477552638856e-10
5.035432319233151245e+10,8.349071834951734221e-10
5.565013359154688263e+10,8.427919512059789200e-10
6.150290923240230560e+10,8.506952087622896826e-10
6.797122666069728088e+10,8.587108283364432158e-10
7.511982297133073425e+10,8.669413582717779216e-10
8.302024371890573120e+10,8.754998219057002099e-10
9.175155896968705750e+10,8.845115080425522344e-10
1.014011546614009857e+11,8.941155971861799722e-10
1.120656071910712585e+11,9.044663842698079746e-10
1.238516499840610962e+11,9.157337456142973432e-10
1.368772417180685883e+11,9.281023519260540273e-10
1.512727468932202148e+11,9.417689534295563965e-10
1.671822405638052368e+11,9.569368760095894913e-10
1.847649502898444214e+11,9.738067181807238170e-10
2.041968497400286865e+11,9.925622396850156029e-10
2.256724198953426208e+11,1.007465846956994595e-09
2.494065954800888672e+11,1.022154648583285764e-09
2.756369161008515015e+11,1.036301884018823845e-09
3.046259036227183228e+11,1.049410119832133120e-09
3.366636895763433228e+11,1.061300271362591471e-09
3.720709188918222656e+11,1.071978015798692307e-09
4.112019590209249878e+11,1.081652532137584818e-09
4.544484465656605835e+11,1.090767925030083430e-09
5.022432069090229492e+11,1.099745890673909158e-09
5.550645860769022217e+11,1.108705986216417473e-09
6.134412381858894043e+11,1.117731804753297211e-09
6.779574163913614502e+11,1.126871032617301093e-09
7.492588202894351807e+11,1.136142980689456288e-09
8.280590582955516357e+11,1.145552238395888229e-09
9.151467896773508301e+11,1.155098489417865612e-09
1.011393617721699585e+12,1.164782598163312436e-09
1.117762813033341309e+12,1.174605269186842541e-09
1.235318954270876465e+12,1.184567236361466664e-09
1.365238582807793701e+12,1.194668609139578703e-09
1.508821977953984619e+12,1.204909973800512550e-09
1.667506170588119873e+12,1.215292509741924469e-09
1.842879325445680420e+12,1.225815854933237688e-09
2.036696636005433105e+12,1.236480905536816078e-09
2.250897891055707520e+12,1.247289359728659514e-09
2.487626888752574219e+12,1.258241996966527282e-09
2.749252892472351074e+12,1.269339855869700548e-09
3.038394343195797363e+12,1.280583383696547424e-09
3.357945065745552734e+12,1.291974380936704812e-09
3.711103231157604492e+12,1.303514949216382757e-09
4.101403365051951172e+12,1.315206271982649131e-09
4.532751722353018555e+12,1.327051883234244537e-09
5.009465382401855469e+12,1.339052303852879031e-09
5.536315455737237305e+12,1.351210318690046082e-09
6.118574834973517578e+12,1.363531150224238634e-09
6.762070967682234375e+12,1.376016498256634856e-09
7.473244179446062500e+12,1.388669800081349761e-09
8.259212130801891602e+12,1.401497041342688273e-09
9.127841053179857422e+12,1.414503260085684611e-09
1.008782447679136523e+13,1.427694872651383566e-09
1.114877023840150000e+13,1.441079302929662732e-09
1.232129663978864844e+13,1.454663687293345009e-09
1.361713871927760742e+13,1.468460770408674197e-09
1.504926569994749219e+13,1.482480025961722615e-09
1.663201078997531445e+13,1.496732975265023475e-09
1.838121463420108984e+13,1.511233320547838065e-09
2.031438385262555859e+13,1.525990961951506376e-09
2.245086625254729297e+13,1.541031472700577336e-09
2.481204446792128125e+13,1.556372892527201509e-09
2.742154996394634375e+13,1.572036424828817019e-09
3.030549954871181250e+13,1.588040937288832905e-09
3.349275675899097656e+13,1.604408239583142394e-09
3.701522073621839844e+13,1.621170622007427933e-09
4.090814548381925781e+13,1.638374848176696125e-09
4.521049270112467188e+13,1.656022913332531782e-09
4.996532172515428906e+13,1.674162834297285720e-09
5.522022048293390625e+13,1.692839022589560351e-09
6.102778176746372656e+13,1.712111693893786342e-09
6.744612960406818750e+13,1.732009924555167367e-09
7.453950097517712500e+13,1.752601437764667780e-09
8.237888872563710938e+13,1.773937347404038570e-09
9.104275208296403125e+13,1.796124850701281751e-09
1.006178019036629062e+14,1.819222115733082265e-09
1.111998685046248281e+14,1.843304965459736360e-09
1.228948607651474688e+14,1.868504907400194148e-09
1.358198260985968906e+14,1.894915134631689816e-09
1.501041219022610625e+14,1.922653207344368700e-09
1.658907102096610000e+14,1.951845015037648567e-09
1.833375885026322188e+14,1.982634566951830443e-09
2.026193710032292812e+14,2.015220108163333410e-09
2.239290362715490938e+14,2.049728788026180692e-09
2.474798586000228125e+14,2.086398698495112949e-09
2.735075425342190625e+14,2.125484041022377237e-09
3.022725818831570000e+14,2.167219935570017303e-09
3.340628668289048750e+14,2.211963112733871504e-09
3.691965652282835000e+14,2.259958426713120036e-09
4.080253069437175625e+14,2.311489079285096627e-09
4.509377030730870625e+14,2.366944719145024084e-09
4.983632353002071250e+14,2.426355566290099708e-09
5.507765542918797500e+14,2.490499998000328126e-09
