# E[eV], EF_E [erg/cm^3s]
5.579418046908048630e+09,2.571985108854089410e-16
6.166210565229206085e+09,3.141562684145154453e-16
6.814716591422118187e+09,3.836487509641765248e-16
7.531426591767330170e+09,4.683874029660332653e-16
8.323513640842845917e+09,5.716449072377180076e-16
9.198905212065464020e+09,6.973585236801549706e-16
1.016636251850925064e+10,8.502460723228461753e-16
1.123556819807071877e+10,1.035932766229673764e-15
1.241722322056337166e+10,1.261084869985078779e-15
1.372315398662026596e+10,1.533542861240085936e-15
1.516643069028660583e+10,1.862442116002398414e-15
1.676149812991472626e+10,2.258302897036399369e-15
1.852432027656110764e+10,2.733063616886283591e-15
2.047254004677437210e+10,3.300022602904131325e-15
2.262565587883409882e+10,3.973645869305170669e-15
2.500521687967475510e+10,4.331050492426395679e-15
2.763503849559082794e+10,4.721926266807831428e-15
3.054144086522798157e+10,5.138651456403195528e-15
3.375351224037710953e+10,5.567185847168851185e-15
3.730340011097518158e+10,5.985467170283270808e-15
4.122663294798965454e+10,6.362815824910967859e-15
4.556247578429747772e+10,6.662211882580853407e-15
5.035432319233151245e+10,6.849166930768676898e-15
5.565013359154688263e+10,6.914312260312061266e-15
6.150290923240230560e+10,6.979564424745383459e-15
6.797122666069728088e+10,7.045691886458546194e-15
7.511982297133073425e+10,7.113535913127076149e-15
8.302024371890573120e+10,7.184025116664448585e-15
9.175155896968705750e+10,7.258189877726897039e-15
1.014011546614009857e+11,7.337175400430557797e-15
1.120656071910712585e+11,7.422251457208934380e-15
1.238516499840610962e+11,7.514815954123907686e-15
1.368772417180685883e+11,7.616388245954655225e-15
1.512727468932202148e+11,7.728586684205046159e-15
1.671822405638052368e+11,7.853083340244734227e-15
1.847649502898444214e+11,7.991527617892812447e-15
2.041968497400286865e+11,8.145430468443423826e-15
2.256724198953426208e+11,8.267758942505012284e-15
2.494065954800888672e+11,8.388319841837382306e-15
2.756369161008515015e+11,8.504434936715347198e-15
3.046259036227183228e+11,8.612025909024294613e-15
3.366636895763433228e+11,8.709623069254807231e-15
3.720709188918222656e+11,8.797271233965174672e-15
4.112019590209249878e+11,8.876683397847878478e-15
4.544484465656605835e+11,8.951499315334732354e-15
5.022432069090229492e+11,9.025176512914349874e-15
5.550645860769022217e+11,9.098695342190977709e-15
6.134412381858894043e+11,9.172741835671736850e-15
6.779574163913614502e+11,9.247707015923937844e-15
7.492588202894351807e+11,9.323751236675634308e-15
8.280590582955516357e+11,9.400910139615543830e-15
9.151467896773508301e+11,9.479186422159953978e-15
1.011393617721699585e+12,9.558583479179356057e-15
1.117762813033341309e+12,9.639110138134622949e-15
1.235318954270876465e+12,9.720767914929994871e-15
1.365238582807793701e+12,9.803562337335577197e-15
1.508821977953984619e+12,9.887495053048582095e-15
1.667506170588119873e+12,9.972572076416305758e-15
1.842879325445680420e+12,1.005879264881597640e-14
2.036696636005433105e+12,1.014616793628619603e-14
2.250897891055707520e+12,1.023470377177900889e-14
2.487626888752574219e+12,1.032440723066945948e-14
2.749252892472351074e+12,1.041528578953581023e-14
3.038394343195797363e+12,1.050734257111622516e-14
3.357945065745552734e+12,1.060058782029992506e-14
3.711103231157604492e+12,1.069504115363417424e-14
4.101403365051951172e+12,1.079070672304165001e-14
4.532751722353018555e+12,1.088759833439390472e-14
5.009465382401855469e+12,1.098574379095706362e-14
5.536315455737237305e+12,1.108516819371219222e-14
6.118574834973517578e+12,1.118592141278250004e-14
6.762070967682234375e+12,1.128802230293920219e-14
7.473244179446062500e+12,1.139150988771320466e-14
8.259212130801891602e+12,1.149643540198166074e-14
9.127841053179857422e+12,1.160284140257321888e-14
1.008782447679136523e+13,1.171078134212048603e-14
1.114877023840150000e+13,1.182034462461151663e-14
1.232129663978864844e+13,1.193158458066463077e-14
1.361713871927760742e+13,1.204460558783108758e-14
1.504926569994749219e+13,1.215947427881042810e-14
1.663201078997531445e+13,1.227630908709240648e-14
1.838121463420108984e+13,1.239529097836486502e-14
2.031438385262555859e+13,1.251650269518329111e-14
2.245086625254729297e+13,1.264013341446188557e-14
2.481204446792128125e+13,1.276638782717109505e-14
2.742154996394634375e+13,1.289548286947707804e-14
3.030549954871181250e+13,1.302756717906072236e-14
3.349275675899097656e+13,1.316292895367151375e-14
3.701522073621839844e+13,1.330192053210367008e-14
4.090814548381925781e+13,1.344476236409714943e-14
4.521049270112467188e+13,1.359177153422057160e-14
4.996532172515428906e+13,1.374329704744779006e-14
5.522022048293390625e+13,1.389964086922537116e-14
6.102778176746372656e+13,1.406138701881856882e-14
6.744612960406818750e+13,1.422898824048070543e-14
7.453950097517712500e+13,1.440309412344394461e-14
8.237888872563710938e+13,1.458426711850027874e-14
9.104275208296403125e+13,1.477332783341149385e-14
1.006178019036629062e+14,1.497086428423589955e-14
1.111998685046248281e+14,1.517787392800968573e-14
1.228948607651474688e+14,1.539565297232650964e-14
1.358198260985968906e+14,1.562490898696192813e-14
1.501041219022610625e+14,1.586745183502675025e-14
1.658907102096610000e+14,1.612429247260766837e-14
1.833375885026322188e+14,1.639683804941465059e-14
2.026193710032292812e+14,1.668646917622966228e-14
2.239290362715490938e+14,1.699488083824101414e-14
2.474798586000228125e+14,1.732443171267178142e-14
2.735075425342190625e+14,1.767710940163759943e-14
3.022725818831570000e+14,1.805537093899637763e-14
3.340628668289048750e+14,1.846130094054484756e-14
3.691965652282835000e+14,1.889756777346454569e-14
4.080253069437175625e+14,1.936791281215760309e-14
4.509377030730870625e+14,1.987618380073187870e-14
4.983632353002071250e+14,2.042519419644053508e-14
5.507765542918797500e+14,2.101957367937808989e-14
6.087022301612983750e+14,2.166413377259957887e-14
6.727200025420571250e+14,2.236381631892817752e-14
7.434705828172570000e+14,2.312323630974418473e-14
