grey dashed line of fig. 3 of doi: 10.22323/1.395.1183
log10(E [GeV]), all-flavour (nu+nubar) E^2Phi [GeV/cm^2]
13.008330924285827, 93.88538702981795
13.010262542377335, 1.3810431390251625
13.994520511944495, 1.3701524489645651
14.003705553073507, 0.5425236200499735
14.992142125042706, 0.5344392660709217
14.993364169141415, 0.7079829518553764
15.970132191006806, 0.6918663738586375
15.98274683976768, 2.4643944037092735
17.00918504112901, 2.473810872182264
16.991721636750675, 9.466476359506654
17.99659667288639, 9.931803776012485
