light purple dotted line of fig. 4 of doi:  10.1103/PhysRevD.102.123013
E [GeV], all-flavour (nu+nubar) E^2Phi [GeV/cm^2]
10121041.547524953, 64.00783366762928
18276017.362043668, 6.58579546018519
57776014.79246275, 1.5348585616039156
168333241.40973678, 0.9069452471806163
444355818.5605099, 0.8323010753306836
1063643123.6356692, 0.8756938960877274
2123104292.3224893, 1.0630977070002243
3761890950.0710773, 1.4410127891133677
7236700038.640114, 2.172609104201037
16316453146.709972, 4.274084657641835
53450055690.33731, 12.571076819214321
