light purple dotted line of fig. 4 of doi:  10.1103/PhysRevD.102.123013
E [GeV], all-flavour (nu+nubar) E^2Phi [GeV/cm^2]
10346623.955149796, 19.529871532276573
17509862.90913325, 1.7491723473916223
39752477.96317768, 0.8666924846342923
102501578.78336282, 0.31091490517955006
157045124.21251756, 0.20177921317081315
241850669.98567972, 0.14986441062765618
420035182.74512935, 0.111738626946896
663504022.9980134, 0.08905353902203494
1053401291.9834675, 0.07787041339766926
1906820702.5848165, 0.0741600521084172
3262726482.1998177, 0.07480940124730898
5737073442.508902, 0.08607939604620748
10113380529.13841, 0.12339835713105637
17993749821.455746, 0.18663683915751292
28920566222.08679, 0.28933353489617414
52642249311.81625, 0.4742458134352949
