green solid line of fig. B6 of doi: 10.1016/j.astropartphys.2024.102990
log10(E [GeV]), muon (nu +nubar) E2FE [GeV cm^-2 s^-1]
12.011134054010284, 7.4838091290779e-9
12.502503475174434, 7.46092755875322e-9
12.503920536593924, 2.068438479412454e-9
13.011376978825053, 2.0661332039634735e-9
13.011228524771584, 1.0999678697791842e-9
13.502881358219632, 1.0953050256434277e-9
13.501923154783594, 1.0593816959165512e-9
14.002577702201169, 1.0571339130674898e-9
14.004224192612387, 1.0890415245776261e-9
14.502031121367937, 1.089619970544185e-9
14.503245745441786, 1.2397378151375556e-9
14.996787994115822, 1.2354442843047026e-9
15.001740961172517, 3.162865435625174e-9
15.499547889928067, 3.152971806287014e-9
