blue dashed-dotted line of fig. B6 of doi: 10.1016/j.astropartphys.2024.102990
E [GeV], muon (nu +nubar) E2FE [GeV cm^-2 s^-1]
999.0693472102477, 6.968524433122145e-9
3151.2843561784557, 1.8577292077902635e-9
10088.477166136478, 8.402745946660179e-10
31661.336474521704, 6.806414007206338e-10
100137.93229754918, 8.418295876232821e-10
318881.54029803624, 1.5730296480170487e-9
1008332.1410518662, 5.5365256512495344e-9
3008332.1410518662, 1e50
1e50, 1e50
